Study ID,Title,Author,Checked & passed inclusion criteria?,Extracted?,Extraction by:,Checked?,Check by:,Original Language of article,Country of the Study,Year of publication,Year(s) of data collection,Income level of study setting,Region of study setting,Study Design,Number of infants with MMC-associated HC,Mean,Median,Standard deviation,Range,Female,Male,Comments
ID 10,Assessment of neurosurgical outcome in children prenatally diagnosed with myelomeningocele and development of a protocol for fetal surgery to prevent hydrocephalus,"Zambelli, Helder and Carelli, Edmur and Honorato, Donizeti and Marba, Sergio and Coelho, Giselle and Carnevalle, Aline and Iscaife, Alex and re and da Silva, Elton and Barini, Ricardo and Sbragia, Lourenco",Passed,TRUE,Moniba,TRUE,Safia,English,Brazil,2007,1994-2002,Upper middle income,Latin America & Caribbean,Retrospective study (unspecified),77,,,,,,,population=newborns
ID 11,Atypical presentations in Chiari II malformation,"Rath, G. P. and Chaturvedi, A. and Bithal, P. K.",Passed,TRUE,Conor,TRUE,Safia,English,India,2006,2006-2006,Lower middle income,South Asia,Multiple case report,2,150,150,,4-36,1,1,
ID 12,Características clínicas de recién nacidos internados por mielomeningocele en el Hospital del Niño &quot;Dr. Ovidio Aliaga Uría&quot;. 1993 2002,"Pantoja Ludueña, Manuel and Mazzi Gonzales de Prada, Eduardo",Did not pass (comment reason for exclusion),TRUE,Alvaro,TRUE,Berjo,,,,,,,,,,,,,,,Wrong study population (children > 2 y.o.)
ID 13,Central diabetes insipidus as a complication of neonatal pathology: report of three cases,"Krebs, V. L. and Damiani, D. and Diniz Mde, A. and Ceccon, M. E. and Yoshimoto, C. and Aguiar, I. F. and Setian, N. and Ramos, J. L. and Vaz, F. A.",Did not pass (comment reason for exclusion),TRUE,Brian,TRUE,Moniba,English,Brazil,1997,,Upper middle income,Latin America & Caribbean,Multiple case report,,,,,,,,"only has 1 case of MMC-aHc (therefore, wrong study design)"
ID 14,Cerebral abnormalities in infants with myelomeningocele,"Alexiou, George A. and Georgoulis, George and Prodromou, Christiana and Sfakianos, George and Prodromou, Neofytos and Zarifi, Maria K. and Mpouza, Eleni and Moutafi, Athina and Anagnostakou, Marina",Passed,TRUE,Conor,TRUE,Safia,English,Greece,2011,1995-2008,High income,Europe & Central Asia,Retrospective study (unspecified),21,45,,,1-44,11,10,
ID 15,Cerebral abnormalities in lumbosacral neural tube closure defect: MR imaging evaluation,"Kawamura, T. and Morioka, T. and Nishio, S. and Mihara, F. and Fukui, M.",Passed,TRUE,Conor,TRUE,Safia,English,Japan,2001,1980-1999,High income,East Asia & Pacific,Retrospective study (unspecified),5,7.5,,,,4,6,
ID 16,Cerebrospinal fluid alterations following endoscopic third ventriculostomy with choroid plexus cauterization: a retrospective laboratory analysis of two tertiary care centers,"Dewan, Michael C. and Gannon, Stephen and Shannon, Chevis N. and Naftel, Robert P. and Dallas, Jonathan and Zhao, Shilin and Chen, Heidi and Smith, Burkely P. and Dawoud, Fakhry and Rocque, Br and on G.",Did not pass (comment reason for exclusion),TRUE,Brian,TRUE,Moniba,English,United States,2020,2014-2016,High income,North America,Retrospective study (unspecified),53,323.4,45,,,,,"No separate data for those with MMCaH was available;
No disaggregate data for MMC patients"
ID 17,Cerebrospinal fluid shunt infection: risk factors and long-term follow-up,"Vinchon, Matthieu and Dhellemmes, Patrick",Did not pass (comment reason for exclusion),TRUE,Suhaib,TRUE,Brian,,,2006,,,,,,,,,,,,No separate data for those with MMCaH was available 
ID 18,"Cerebrospinal fluid shunt infections in children. A study on the relationship between the etiology of hydrocephalus, age at the time of shunt placement, and infection rate","Ammirati, M. and Raimondi, A. J.",Passed,TRUE,Suhaib,TRUE,Brian,English,United States,1987,1973-1982,High income,North America,Retrospective study (unspecified),174,,,,,,,
ID 19,Cervical meningomyelocele--an institutional experience,"Kasliwal, M. K. and Dwarakanath, S. and Mahapatra, A. K.",Passed,TRUE,Suhaib,TRUE,Brian,English,India,2007,2001-2006,Lower middle income,South Asia,Retrospective study (unspecified),5,,,,,2,3,10 patients were in the study but one patient was excluded as it presented on 2 and half year.
ID 20,Cervical myelomeningocele,"Habibi, Zohreh and Nejat, Farideh and Tajik, Parvin and Kazmi, Syed S. and Kajbafzadeh, Abdol-Mohammad",Passed,TRUE,Brian,TRUE,Moniba,English,"Iran, Islamic Rep.",2006,2000-2003,Lower middle income,Middle East & North Africa,Multiple case report,8,,17,,1-121.67,3,5,
ID 21,Cervical myelomeningocele--follow-up of five patients,"Meyer-Heim, Andreas D. and Klein, Andrea and Boltshauser, Eugen",Passed,TRUE,Suhaib,FALSE,Brian,English,Switzerland,2003,1984-1999,High income,Europe & Central Asia,Retrospective study (unspecified),2,,,,,,,
ID 22,Clinical and radiological predictors of ventriculoperitoneal shunt insertion in myelomeningocele patients,"Ghoul, Ahmed M. F. and Ashry, Ahmed Hamdy and El-Sissy, Mohamed Hamdy and Lotfy, Ibrahim Mohamed Ibrahim",Passed,TRUE,Brian,TRUE,Conor,English,"Egypt, Arab Rep.",2021,,Lower middle income,Middle East & North Africa,Prospective study (unspecified),27,16.84,6.5,,,16,11,
ID 23,Clinical and ultrasonographic criteria for using ventriculoperitoneal shunts in newborns with myelomeningocele,"Melo, Jose Roberto Tude and Pacheco, Pollyana and Melo, Emília Nunes de and Vasconcellos, Ângela and Passos, Rosane Klein",Passed,TRUE,Brian,TRUE,Conor,English,Brazil,2015,2009-2013,Upper middle income,Latin America & Caribbean,Retrospective study (unspecified),32,,,,,,,No separate data for those with MMCaH was available for gender; population = newborn 
ID 24,Clinical characteristics of neonatal meningomyelocele cases and effect of operation time on mortality and morbidity,"Bulbul, Ali and Can, Emrah and Comert, Serdar and Nuhoglu, Asiye and Bulbul, Lida Gunes",Passed,TRUE,Berjo,TRUE,Brian,English,Turkey,2010,2006-2008,Upper middle income,Europe & Central Asia,Prospective study (unspecified),13,,,,,,,"No separate data for those with MMCaH was available for gender, and age; population =neonate"
ID 25,Clinical evaluation and surveillance imaging of children with myelomeningocele and shunted hydrocephalus: A follow-up study,"Wetzel, Jeremy S. and Heaner, David P. and Gabel, Br and on C. and Shane Tubbs, R. and Chern, Joshua J.",Did not pass (comment reason for exclusion),TRUE,Brian,TRUE,Conor,English,United States,2019,2012-2016,High income,North America,Other (Add as comment),,,,,,,,population age >2yrs old
ID 26,Combined endoscopic third ventriculostomy and choroid plexus cauterization as primary treatment for infant hydrocephalus: a prospective North American series,"Stone, S. S. and Warf, B. C.",Did not pass (comment reason for exclusion),TRUE,Brian,TRUE,Conor,English,United States,2014,2009-2014,High income,North America,Prospective study (unspecified),23,,,,,,,No disaggregate data for MMC-aHC
ID 27,Combined endoscopic third ventriculostomy and choroid plexus cauterization as primary treatment of hydrocephalus for infants with myelomeningocele: Long-term results of a prospective intent-to-treat study in 115 East African infants,,Passed,TRUE,Moniba,TRUE,Daoud,English,Uganda,2008,2003-2006,Low income,Sub-Saharan Africa,Prospective study (unspecified),115,,,,,,,"age; 114<12 months old, 1=15months old"
ID 28,Comments on the management of newborn with spina bifida cystica--active treatment or no treatment,"Kaiser, G. and Rüdeberg, A.",Passed,TRUE,Moniba,TRUE,Daoud,English,Switzerland,Jun,1977-1984,High income,Europe & Central Asia,Prospective study (unspecified),3,,,,,,,age=newborns
ID 29,Comparative effectiveness of flexible versus rigid neuroendoscopy for endoscopic third ventriculostomy and choroid plexus cauterization: A propensity score-matched cohort and survival analysis,"Wang, Shelly and Stone, Scellig and Warf, Benjamin C. and Weil, Alex and er G. and Fallah, Aria and Ragheb, John and Bhatia, Sanjiv and Kulkarni, Abhaya V.",Did not pass (comment reason for exclusion),TRUE,Moniba,TRUE,Daoud,English,United States,2017,2009-2014,High income,North America,Retrospective study (unspecified),30,129,96,,,,,no disaggregated data for MMcaH
ID 30,Comparative study of complex spina bifida and split cord malformation,"Singh, S. N. and Bansal, K. K. and Singh, Vinita and Kumar, Raj",Did not pass (comment reason for exclusion),TRUE,Moniba,TRUE,Daoud,,,2005,,,,,,,,,,,,age of population not precised (5 out of 19 had MMCaH but age is 2 days to 14 years
ID 31,Comparison of dorsal intercostal perforator artery flap and primary closure in myelomeningocele repair,"Atalay, Tugay and Oktay, Kadir and Guzel, Ebru and Tekes, Lutfi and Solakhan, Mehmet and Ozkiraz, Servet and Celik, Bahattin and Guzel, Aslan",Passed,TRUE,Daoud,TRUE,Moniba,English,Turkey,2021,2015-2019,Upper middle income,Europe & Central Asia,Case series,11,,,,,,,"Study focus on comapring simple primary skin suture and the dorsal intercostal perforator artery flap, so data is very poor "
ID 32,Comparison of endoscopic third ventriculostomy alone and combined with choroid plexus cauterization in infants younger than 1 year of age: a prospective study in 550 African children,"Warf, B. C.",Passed,TRUE,Daoud,TRUE,Moniba,English,Uganda,2005,2001-2004,Low income,Sub-Saharan Africa,Prospective study (unspecified),65,,,,,,,
ID 33,Comparison of hydrocephalus appearance at spinaldysraphia,"Elshani, B. and Lenjani, B.",Did not pass (comment reason for exclusion),TRUE,Daoud,TRUE,Moniba,English,Kosovo,2013,2000-2006,Upper middle income,Europe & Central Asia,Retrospective study (unspecified),,,,,,,,"Study should be excluded imo, extremly poor journal and study written quite weirdly, I could not find a legitamate source for the journal. What do you think?"
ID 34,Comparison of hydrocephalus metrics between infants successfully treated with endoscopic third ventriculostomy with choroid plexus cauterization and those treated with a ventriculoperitoneal shunt: A multicenter matched-cohort analysis,"Dewan, Michael C. and Lim, Jaims and Gannon, Stephen R. and Wellons, John C. and Naftel, Robert P. and Heaner, David and Chern, Joshua J. and Davis, Matthew C. and Rocque, Br and on G. and Vaughn, Br and y and Klimo, Paul",Did not pass (comment reason for exclusion),TRUE,Daoud,TRUE,Moniba,English,United States,2018,2014-2016,High income,North America,Retrospective study (unspecified),44,,,,,,,"Very poor study for the focus of this review;
Study design: retrospective match-cohort;"
ID 35,Comparison of simultaneous shunting to delayed shunting in infants with myelomeningocele in terms of shunt infection rate,"Arslan, Mehmet and Eseoglu, Metehan and Gudu, Burhan Oral and Demir, Ismail and Kozan, Abdulbaki and Gokalp, Abdulsemat and Sosuncu, Enver and Kiymaz, Nejmi",Passed,TRUE,Berjo,TRUE,Brian,English,Turkey,2011,2000-2010,Upper middle income,Europe & Central Asia,Retrospective study (unspecified),166,4,,,1-15,75,91,
ID 36,Comparison of simultaneous versus delayed ventriculoperitoneal shunt insertion in children undergoing myelomeningocele repair,"Miller, P. D. and Pollack, I. F. and Pang, D. and Albright, A. L.",Passed,TRUE,Jeremy,TRUE,Berjo,English,United States,1996,1987-1993,High income,North America,Retrospective study (unspecified),69,42,,,,,,no mention of age for the patient 
ID 37,Comparison Of Simultaneous Versus Delayed Ventriculoperitoneal Shunting In Patients Undergoing Meningocoele Repair In Terms Of Infection,"Khattak, Haider Ali and Gul, Nasim and Khan, Shahbaz Ali and Muhammad, Gul and Aurangzeb, Ahsan and Khan, Ibrahim",Passed,TRUE,Jeremy,TRUE,Berjo,English,Pakistan,2018,2016-2016,Lower middle income,South Asia,RCT,75,,,,,,,"the study includes patients from 15 days to 5years. we used only data from age group <1 year was extracted, given that our study focus only on those <= 2years "
ID 38,Contemporaneous shunting with repair of myelomeningocele,"Parent, A. D. and McMillan, T.",Passed,TRUE,Jeremy,TRUE,Berjo,English,United States,1995,1985-1993,High income,North America,Retrospective study (unspecified),89,365,,,,44,45,mean age and standar deviation is not reported
ID 39,Contemporary management and outcome of myelomeningocele: the Rotterdam experience,"Spoor, Jochem K. H. and Lutters, Bart and van Veelen, Marie Lise and de Jong, Tjeerd H. R. and Gadjradj, Pravesh S. and Eggink, Alex J. and DeKoninck, Philip L. J. and Scheepe, Jeroen R. and van Meeteren, Jetty and de Laat, Peter C. J.",Passed,TRUE,Berjo,TRUE,Brian,English,Netherlands,2019,2000-2018,High income,Europe & Central Asia,Retrospective study (unspecified),78,,,,,,,
ID 40,Cranial Doppler ultrasonography correlates with criteria for ventriculoperitoneal shunting,"Chadduck, W. M. and Seibert, J. J. and Adametz, J. and Glasier, C. M. and Crabtree, M. and Stansell, C. A.",Did not pass (comment reason for exclusion),TRUE,Jeremy,TRUE,Berjo,English,United States,1989,,High income,North America,RCT,17,,,,,,,no age statistics were available
ID 41,Craniolacunia in newborn with myelomeningocele,"Tajima, M. and Yamada, H. and Kageyama, N.",Passed,TRUE,Sett,FALSE,Brian,English,Japan,1977,,High income,East Asia & Pacific,Cohort study,29,,,,0-7,,,no age or sex statistics were available
ID 42,CSF shunt removal in children with hydrocephalus,"Iannelli, A. and Rea, G. and Di Rocco, C.",Did not pass (comment reason for exclusion),TRUE,Sett,TRUE,Berjo,,,May,,,,,,,,,,,,Wrong population (No disaggregaterelevant data)
ID 43,CSF shunting in myelomeningocele-related hydrocephalus and the role of prenatal imaging,"Licci, Maria and Zaed, Ismail and Beuriat, Pierre-Aurelien and Di Rocco, Federico and Szathmari, Alex and ru and Guibaud, Laurent and Mottolese, Carmine",Passed,TRUE,Sett,TRUE,Brian,English,France,2021,2003-2020,High income,Europe & Central Asia,Retrospective study (unspecified),50,,,,,19,31,no age stats were available
ID 44,Current prognosis in fetal ventriculomegaly,"Rosseau, G. L. and McCullough, D. C. and Joseph, A. L.",Passed,TRUE,Sett,TRUE,Brian,English,United States,1992,1976-1990,High income,North America,Prospective study (unspecified),9,,,,,,,no age and sex stats were available
ID 45,Decline in the incidence of neural tube defects after the national fortification of flour (1997-2005),"Safdar, Osama Y. and Al-Dabbagh, Amal A. and AbuElieneen, Wafa A. and Kari, Jameela A.",Did not pass (comment reason for exclusion),TRUE,Berjo,TRUE,Sett,,,2007,,,,,,,,,,,,"No disaggregate data on MMCaH, Wrong population"
ID 46,Detailed Analysis of Hydrocephalus and Hindbrain Herniation after Prenatal and Postnatal Myelomeningocele Closure: Report from a Single Institution,"Fl and ers, Tracy M. and Madsen, Peter J. and Buch, Vivek P. and Alex and er, Erin E. and Heuer, Gregory G. and MacKell, Catherine M. and Moldenhauer, Julie S. and Zarnow, Deborah M. and Flake, Alan W. and Adzick, N. Scott",Passed,TRUE,Berjo,TRUE,Sett,English,United States,2019,2011-2016,High income,North America,Retrospective study (unspecified),96,300,,,,,,
ID 47,Determination of the Effect of Diameter of the Sac on Prognosis in 64 Cases Operated for Meningomyelocele,"Metehan, EseoĞLu and Ahmet, EroĞLu and Serkan, Kemer and Mehmet, Arslan",Passed,TRUE,Berjo,TRUE,Sett,English,Turkey,2017,,Upper middle income,Europe & Central Asia,Retrospective study (unspecified),47,,,,,25,22,"1. No specific age range for MMCaH was given; however, it was mentioned all patients in the study ranged from the neonatal period to 6 months                                       2. The study setting wasn't stated; however, all authors were affiliated with a neurosurgery department located in Turkey"
ID 48,"Diagnosis, treatment, and long-term outcomes of fetal hydrocephalus","Nonaka, Masahiro and Yamasaki, Mami and Bamba, Yohei and Teramoto, Chika and Ban, Chiaki and Pooh, Ritsuko K.",Did not pass (comment reason for exclusion),TRUE,Berjo,TRUE,Sett,,,2012,,,,,,,,,,,,
ID 49,Diffusion tensor imaging in children following prenatal myelomeningocele repair and its predictive value for the need and timing of subsequent CSF diversion surgery for hydrocephalus,"Yuan, Weihong and Stevenson, Charles B. and Altaye, Mekibib and Jones, Blaise V. and Leach, James and Mangano, Francesco T. and Lovha, Mykhailo and Rennert, Noa",Did not pass (comment reason for exclusion),TRUE,Safia,TRUE,Berjo,English,United States,2021,2011-2018,High income,North America,Retrospective study (unspecified),34,,,,,19,15,wrong outcome
ID 50,Do grip and pinch strength predict neurologic complications in children with spina bifida and hydrocephalus?,"Fried, Ruth and Baltus-Hebert, Elizabeth and Tierney, Susan Eyer and Fucile, S and ra and Doremus, Tamara L. and Liptak, Gregory S.",Did not pass (comment reason for exclusion),TRUE,Safia,TRUE,Berjo,,,2006,,,,,,,,,,,,"Wrong outcome, population age group over 4 years"
ID 51,Does locomotion improve the cognitive profile of children with meningomyelocele?,"Rendeli, C. and Salvaggio, E. and Sciascia Cannizzaro, G. and Bianchi, E. and Caldarelli, M. and Guzzetta, F.",Passed,TRUE,Safia,TRUE,Conor,English,Italy,2002,,High income,Europe & Central Asia,,29,,,,,15,14,
ID 52,Does Shunt Selection Affect the Rate of Early Shunt Complications in Neonatal Myelomeningocele-Associated Hydrocephalus? A Multi-Center Study,"Kahilogullari, Gokmen and Etus, Volkan and Guler, Tugba Morali and Karabagli, Hakan and Unlu, Agahan",Passed,TRUE,Safia,TRUE,Conor,English,Turkey,2018,2000-2014,Upper middle income,Europe & Central Asia,Retrospective study (unspecified),157,,,,,,,
ID 53,Double spinal dysraphism. Report of three cases,"Keshavarzi, S. and Nejat, F. and Kazemi, H.",Passed,TRUE,Safia,TRUE,Conor,English,"Iran, Islamic Rep.",2007,,Lower middle income,Middle East & North Africa,Case series,3,8.66,,,,3,,
ID 54,Early outcome of combined endoscopic third ventriculostomy and choroid plexus cauterization in childhood hydrocephalus,"Bankole, Olufemi B. and Ojo, Omotayo A. and Nnadi, Mathias N. and Kanu, Okezie O. and Olatosi, John O.",Did not pass (comment reason for exclusion),TRUE,Safia,TRUE,Conor,English,Nigeria,2015,,Lower middle income,Sub-Saharan Africa,Retrospective study (unspecified),8,,,,,,,Unsure about the age of the participants with MMCaH as study includes participants aged 0 - 18 years
ID 55,Early repair of myelomeningocele and simultaneous insertion of ventriculoperitoneal shunt: Technique and results,"Hubballah, M. Y. and Hoffman, H. J.",Did not pass (comment reason for exclusion),TRUE,Safia,TRUE,Alvaro,,,1987,,,,,,,,,,,,wrong study design (book chapter abstract)
ID 56,Early third ventriculostomy in meningomyelocele infants - shunt independence?,"Natelson, S. E.",Did not pass (comment reason for exclusion),TRUE,Conor,FALSE,Berjo,,,1981,,,,,,,,,,,,Cannot identify full-text (1983 paper)
ID 57,Efectividad y técnica quirúrgica de la neuroendoscopía para el tratamiento de la hidrocefalia en menores de un año,"Hinojosa, Luca and Bustamante, J. L. and Colombo, G. and Gomez Avalos, M. and Tello Brogiolo, Nicolás and Longuinio, A.",Passed,TRUE,Alvaro,FALSE,Brian,Spanish,Argentina,2017,2013-2016,Upper middle income,Latin America & Caribbean,Prospective study (unspecified),13,,127.1,83.7,,,,"No outcome data of our interest, so inclined to exclude it based on strict interpretation of the I/E criteria..."
ID 58,Endoscopic third ventriculocisternostomy in hydrocephalic children under 2 years of age: Appropriate or not? A single-center retrospective cohort study,"Fani, L. and De Jong, T. H. R. and Dammers, R. and Van Veelen, M. L. C.",Passed,TRUE,Conor,TRUE,Safia,English,Netherlands,2013,1999-2010,High income,Europe & Central Asia,Retrospective study (unspecified),8,,215.4,189.8,,,,No male:female data available
ID 59,Endoscopic third ventriculostomy and choroid plexus cauterization in infants with hydrocephalus: A retrospective Hydrocephalus Clinical Research Network study,"Kulkarni, Abhaya V. and Drake, James M. and Riva-Cambrin, Jay and Holubkov, Richard and Kestle, John R. W. and Browd, Samuel R. and Simon, Tamara D. and Limbrick, David D. and Rozzelle, Curtis J. and Tamber, M and eep S. and Wellons Iii, John C. and Whitehead, William E.",Passed,TRUE,Conor,FALSE,Daoud,English,United States,2014,2005-2012,High income,North America,Retrospective study (unspecified),4,,,,4-19,,,No male:female or age specific data available
ID 60,Endoscopic third ventriculostomy and choroid plexus cauterization with a rigid neuroendoscope in infants with hydrocephalus,"Weil, Alex and er G. and Fallah, Aria and Chamiraju, Parthasarathi and Ragheb, John and Bhatia, Sanjiv",Passed,TRUE,Conor,TRUE,Safia,English,United States,2016,2007-2014,High income,North America,Retrospective study (unspecified),7,100,,,1-605,,,No male:female or age specific data available
ID 61,Endoscopic third ventriculostomy for malfunction in previously shunted infants,"Bilginer, Burcak and Akalan, Nejat and Oguz, Kader Karli",Did not pass (comment reason for exclusion),TRUE,Brian,TRUE,Daoud,English,Turkey,2009,2002-2007,Upper middle income,Europe & Central Asia,Retrospective study (unspecified),3,,,,,,,"age of  1st line HC is unclear for MMC-aHC;
No disaggregated on gender and age for patients with MMC-aHc "
ID 62,Endoscopic third ventriculostomy for obstructive hydrocephalus in children younger than 6 months of age,"Ogiwara, Hideki and Dipatri Jr, Arthur J. and Alden, Tord D. and Bowman, Robin M. and Tomita, Tadanori",Did not pass (comment reason for exclusion),TRUE,Brian,TRUE,Daoud,English,United States,2010,1994-2008,High income,North America,Retrospective study (unspecified),2,,,,,,,"No disaggregate data for MMC-aHC
"
ID 63,Endoscopic Third Ventriculostomy for the Treatment of Hydrocephalus in a Pediatric Population with Myelomeningocele,"Rei, Joana and Pereira, Josue and Vaz, Rui and Reis, Carina and Salvador, Sergio",Did not pass (comment reason for exclusion),TRUE,Brian,TRUE,Daoud,English,Portugal,2017,1998-2015,High income,Europe & Central Asia,Retrospective study (unspecified),22,,,,,6,12,"age at 1st line of treatment of HC unclear
"
ID 64,Endoscopic Third Ventriculostomy in Cases of Ventriculoperitoneal Shunt Malfunction: Does Shunt Duration Play a Role?,"Talamonti, Giuseppe and Picano, Marco and Marcati, Eleonora and D'Aliberti, Giuseppe and Cenzato, Marco and Nichelatti, Michele",Did not pass (comment reason for exclusion),TRUE,Brian,TRUE,Daoud,English,Italy,2019,1998-2017,High income,Europe & Central Asia,Retrospective study (unspecified),34,,,,,,,"age at first treatment of HC unclear for MMCaHC
"
ID 65,Endoscopic Third Ventriculostomy in Children with Myelomeningocele: A Case Series,"Perez da Rosa, S and ra and Millward, Christopher Paul and Chiappa, Vanessa and Martinez de Leon, Maria and Ibanez Botella, Guillermo and Ros Lopez, Bienvenido",Did not pass (comment reason for exclusion),TRUE,Sett,FALSE,Brian,English,Spain,2015,,High income,Europe & Central Asia,Case series,1,,,,,,1,wrong study design (a single case of MMCaH in an infant)
ID 66,Endoscopic third ventriculostomy in infants,"Kienke, Sven and Ankermann, Tobias and Padoin, Maurizio and Mehdorn, H. Maximilian and Fritsch, Michael J.",Passed,TRUE,Sett,TRUE,Brian,English,Germany,2005,1996-2002,High income,Europe & Central Asia,Retrospective study (unspecified),4,148,113,,19-347,2,2,
ID 67,Endoscopic third ventriculostomy in patients with myelomeningocele after shunt failure,"Furtado, Leopoldo M and ic Ferreira and da Costa Val Filho, Jose Aloysio and Holliday, Julia Braga and da Silva Costa, Julia and de Matos, Marcelle Amaral and Nascimento, Victor Adalberto Machado and Ramos Cavalcanti, Tulio",Passed,TRUE,Moniba,TRUE,Safia,English,Brazil,2020,1996-2017,Upper middle income,Latin America & Caribbean,Retrospective study (unspecified),22,,,,28-364,,,empty field=info unavailable
ID 68,Endoscopic third ventriculostomy in the treatment of hydrocephalus: A 20-year retrospective analysis of 209 consecutive cases,"Faquini, Igor Vilela and Cezar Junior, Auricelio Batista and Fonseca, Ricardo Br and ao and Correia, Alyne Oliveira and de Carvalho Junior, Eduardo Vieira and de Almeida, Nivaldo Sena and Cirne Azevedo-Filho, Hildo Rocha",Did not pass (comment reason for exclusion),TRUE,Sett,TRUE,Brian,,,2021,,,,,,,,,,,,
ID 69,Endoscopic third ventriculostomy: An outcome analysis,"Abtin, Keyvan and Carey, Lyn and Walker, Marion L. and Brockmeyer, Douglas",Did not pass (comment reason for exclusion),TRUE,Sett,TRUE,Brian,,,1998,,,,,,,,,,,,
ID 70,Etiological differences between the isolated lateral ventricle and the isolated fourth ventricle,"Ang, Beng Ti and Steinbok, Paul and Cochrane, D. Douglas",Did not pass (comment reason for exclusion),TRUE,Moniba,TRUE,Daoud,English,,2006,,,,,,,,,,,,
